EventTime,DeviceName,RSSI,SNR,Description
9/17/2020 17:25,Dry Contact Sensor 01,-33,9.8,Contacts Shorted
9/17/2020 17:24,Dry Contact Sensor 01,-48,8.2,Contacts opened
9/17/2020 17:24,Dry Contact Sensor 01,-41,6.8,Contacts Shorted
9/17/2020 16:06,Dry Contact Sensor 01,-29,9.5,Contacts opened
9/17/2020 16:06,Dry Contact Sensor 01,-30,9.2,Contacts Shorted
9/17/2020 16:05,Dry Contact Sensor 01,-31,11.2,Contacts opened
9/17/2020 16:05,Dry Contact Sensor 01,-31,9,Contacts Shorted
9/17/2020 14:59,Dry Contact Sensor 01,-33,10.8,Contacts opened
9/17/2020 14:58,Dry Contact Sensor 01,-42,9.8,Contacts Shorted
9/17/2020 14:58,Dry Contact Sensor 01,-45,7.2,Contacts opened
9/17/2020 14:58,Dry Contact Sensor 01,-39,9,Contacts Shorted
9/17/2020 14:57,Dry Contact Sensor 01,-41,7,Contacts opened
9/17/2020 14:57,Dry Contact Sensor 01,-58,8.8,Contacts Shorted
9/17/2020 14:57,Dry Contact Sensor 01,-39,9.5,Contacts opened
9/17/2020 14:57,Dry Contact Sensor 01,-41,8.2,Contacts Shorted
9/17/2020 14:57,Dry Contact Sensor 01,-39,8.8,Contacts opened
9/17/2020 14:57,Dry Contact Sensor 01,-36,9.5,Contacts Shorted
9/17/2020 14:54,Dry Contact Sensor 01,-37,9.2,Contacts opened
9/17/2020 14:54,Dry Contact Sensor 01,-38,9.2,Contacts Shorted
9/17/2020 14:54,Dry Contact Sensor 01,-39,7.8,Contacts opened
9/17/2020 14:54,Dry Contact Sensor 01,-41,9.5,Contacts Shorted
9/17/2020 14:48,Dry Contact Sensor 01,-37,9.5,Contacts opened
9/17/2020 14:47,Dry Contact Sensor 01,-39,8.2,Contacts Shorted
9/17/2020 14:44,Dry Contact Sensor 01,-36,9.5,Contacts opened
9/17/2020 14:44,Dry Contact Sensor 01,-36,10,Contacts Shorted
9/17/2020 14:44,Dry Contact Sensor 01,-31,9.2,Contacts opened
9/17/2020 14:44,Dry Contact Sensor 01,-35,11,Contacts Shorted
9/17/2020 14:43,Dry Contact Sensor 01,-33,8.2,Contacts opened
9/17/2020 14:43,Dry Contact Sensor 01,-37,8,Contacts Shorted
9/17/2020 14:42,Dry Contact Sensor 01,-36,9,Contacts opened
9/17/2020 14:42,Dry Contact Sensor 01,-36,8.8,Contacts Shorted
9/17/2020 14:40,Dry Contact Sensor 01,-33,9.8,Contacts opened
9/17/2020 14:40,Dry Contact Sensor 01,-49,9.8,Contacts Shorted
9/17/2020 14:40,Dry Contact Sensor 01,-38,9.5,Contacts opened
9/17/2020 14:40,Dry Contact Sensor 01,-39,7.5,Contacts Shorted
9/17/2020 14:39,Dry Contact Sensor 01,-33,7.2,Contacts opened
9/17/2020 14:39,Dry Contact Sensor 01,-33,9,Contacts Shorted
9/17/2020 14:38,Dry Contact Sensor 01,-36,9.5,Contacts opened
9/17/2020 14:38,Dry Contact Sensor 01,-37,8.8,Contacts Shorted
9/17/2020 14:37,Dry Contact Sensor 01,-35,12.8,Contacts opened
9/17/2020 14:37,Dry Contact Sensor 01,-32,11.5,Contacts Shorted
9/17/2020 14:36,Dry Contact Sensor 01,-38,9.5,Contacts opened
9/17/2020 14:36,Dry Contact Sensor 01,-39,11.5,Contacts Shorted
9/17/2020 14:35,Dry Contact Sensor 01,-38,11.5,Reset Hardware Version: 2.4 Firmware Version: 2.0.1
9/17/2020 3:32,Dry Contact Sensor 01,-17,8.2,Enclosure Open
9/17/2020 3:31,Dry Contact Sensor 01,-38,9.2,Contacts opened
9/17/2020 3:31,Dry Contact Sensor 01,-26,9,Contacts Shorted
9/17/2020 3:30,Dry Contact Sensor 01,-33,11,Contacts opened
9/17/2020 3:30,Dry Contact Sensor 01,-29,10,Contacts Shorted
9/17/2020 3:29,Dry Contact Sensor 01,-26,9.5,Contacts opened
9/17/2020 3:29,Dry Contact Sensor 01,-26,9.2,Contacts Shorted
9/17/2020 3:29,Dry Contact Sensor 01,-29,8.5,Contacts opened
9/17/2020 3:29,Dry Contact Sensor 01,-23,7.5,Contacts Shorted
9/17/2020 3:28,Dry Contact Sensor 01,-26,10,Contacts opened
9/17/2020 3:28,Dry Contact Sensor 01,-25,9.5,Contacts Shorted
9/17/2020 3:28,Dry Contact Sensor 01,-23,7,Contacts opened
9/17/2020 3:28,Dry Contact Sensor 01,-26,10,Contacts Shorted
9/17/2020 3:28,Dry Contact Sensor 01,-23,6.5,Contacts opened
